"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"PARQUE NATURAL MUNICIPAL FAZENDA DO CARMO","SÃO PAULO (SP)",16,14,14,13,9
"PARQUE NATURAL MUNICIPAL ITAIM","SÃO PAULO (SP)",38,17,17,16,10
"PARQUE NATURAL MUNICIPAL JACEGUAVA","SÃO PAULO (SP)",43,24,24,20,11
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","APIAÍ (SP)",35,18,15,11,8
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","SANTO ANDRÉ (SP)",807,200,194,121,64
"PARQUE NATURAL MUNICIPAL OLESIO DOS SANTOS","SALTO DE PIRAPORA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL SALTO BOTELHO","LUCÉLIA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL VALE DO ITAIM","TAUBATÉ (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL VARGINHA","SÃO PAULO (SP)",19,10,10,8,7
"RDS BARREIRO ANHEMAS","BARRA DO TURVO (SP)",0,0,0,0,0
"RDS DA BARRA DO UNA","PERUÍBE (SP)",444,126,117,104,50
"RDS DO DESPRAIADO","IGUAPE (SP)",0,0,0,0,0
"RDS DOS PINHEIRINHOS","BARRA DO TURVO (SP)",0,0,0,0,0
"RDS ITAPANHAPIMA","CANANÉIA (SP)",0,0,0,0,0
"RDS LAVRAS","CAJATI (SP)",45,13,13,13,10
"RDS QUILOMBOS DE BARRA DO TURVO","BARRA DO TURVO (SP)",0,0,0,0,0
"REFÚGIO DE VIDA SILVESTRE AIMORÉS","AGUDOS (SP) - BAURU (SP) - PEDERNEIRAS (SP)",59,42,33,37,14
"REFÚGIO DE VIDA SILVESTRE ANHANGUERA","SÃO PAULO (SP)",1,1,1,1,1
"REFÚGIO DE VIDA SILVESTRE DA MATA DA REPRESA","CAÇAPAVA (SP)",0,0,0,0,0
"REFÚGIO DE VIDA SILVESTRE DAS ILHAS DO ABRIGO E GUARARITAMA","PERUÍBE (SP)",0,0,0,0,0
"REFÚGIO DE VIDA SILVESTRE DO ARQUIPÉLAGO DE ALCATRAZES","SÃO SEBASTIÃO (SP)",99,50,50,44,30
"REFÚGIO DE VIDA SILVESTRE DO BICUDINHO","GUARAREMA (SP)",0,0,0,0,0
"RESERVA BIOLÓGICA DE ANDRADINA","ANDRADINA (SP)",60,21,21,16,13
"RESERVA BIOLÓGICA MOGI-GUAÇU","MOGI GUAÇU (SP)",3,3,3,2,2
"RESERVA BIOLÓGICA MUNICIPAL DA SERRA DO JAPI","JUNDIAÍ (SP)",2781,724,669,454,137
"RESERVA BIOLÓGICA TAMBORÉ","SANTANA DE PARNAÍBA (SP)",4,2,2,2,2
"RESERVA EXTRATIVISTA ILHA DO TUMBA","CANANÉIA (SP)",0,0,0,0,0
"RESERVA EXTRATIVISTA MANDIRA","CANANÉIA (SP)",0,0,0,0,0
"RESERVA EXTRATIVISTA TAQUARI","CANANÉIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL  RIO DOS PILÕES","SANTA ISABEL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS","SÃO LUIZ DO PARAITINGA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BESOURO DE FOGO","SÃO JOSÉ DO BARREIRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CABURÉ","SÃO JOSÉ DO BARREIRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DA LUISA","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANDEIA","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARBOCLORO S/A","CUBATÃO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAVA II","BARRETOS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","ARAÇOIABA DA SERRA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COPAÍBA","SOCORRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CRUZ PRETA","IBIÚNA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUAS CACHOEIRAS","AMPARO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOWORLD","ATIBAIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ","JAGUARIÚNA (SP)",44,21,15,20,16
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELA AURORA","CRUZEIRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CATADUPA","SÃO JOSÉ DO BARREIRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA HORII","GUAPIARA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MATA NATIVA","IGUAPE (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMIRA","SERRA AZUL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RELÓGIO QUEIMADO","CAFELÂNDIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA","BRAGANÇA PAULISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SILVO AGRO-PASTORIL GONÇALVES","TAPIRAÍ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FERLAG RESINAS BRASIL","NOVA CAMPINA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA MARIA HELENA","CERQUEIRA CÉSAR (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","ARAÇOIABA DA SERRA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRUTA DO LOBO","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIGANTE DO ITAGUARÉ","CRUZEIRO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUAINUMBI","SÃO LUIZ DO PARAITINGA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACARANDÁS","NAZARÉ PAULISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAGUARETÊ","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAFIGUEIRA - NATURARTE","PIRACAIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO ROQUE","PIRASSUNUNGA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA VIRGEM","SÃO PAULO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS","IBIÚNA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS II","IBIÚNA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS III","IBIÚNA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO CURUSSU MIRIM","UBATUBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMONIO NATURAL MUTINGA","SÃO PAULO (SP)",6,2,2,2,2
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NARDINI SEMPRE VERDE","MONTE ALTO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO D'ÁGUA","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO","SANTO ANTÔNIO DO JARDIM (SP) - SÃO JOÃO DA BOA VISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DAS NASCENTES","BRAGANÇA PAULISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DO ZIZO","TAPIRAÍ (SP)",310,158,151,84,35
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DOS PÁSSAROS","BRAGANÇA PAULISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE FLORESTAL SÃO MARCELO","MOGI MIRIM (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO DO IFÉ","COLÔMBIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO OLHO D'ÁGUA","BOTUCATU (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL - GLEBA 2","PIRACAIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL - GLEBA 3","PIRACAIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS MURIQUIS","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO","JAÚ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MURIQUI","TAPIRAÍ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI","SÃO SEBASTIÃO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO","BANANAL (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JUDAS TADEU","JUQUITIBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO LOURENÇO","AVARÉ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DA BOCAINA","SÃO JOSÉ DO BARREIRO (SP)",4,3,3,3,3
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SITIO CAETE","NAZARÉ PAULISTA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CAPUAVINHA","MAIRIPORÃ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CURUCUTU","SÃO PAULO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DAS PEDRAS","INDAIATUBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO CANTONEIRO","MONTEIRO LOBATO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO JACU","CARAGUATATUBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SITIO PALMITAL","ITÁPOLIS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON","ARAÇARIGUAMA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA","SÃO LUIZ DO PARAITINGA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN","ITAPEVI (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SABIUNA","JOANÓPOLIS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SÃO JOAQUIM I","SÃO BENTO DO SAPUCAÍ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SOLAR DA MONTANHA","ATIBAIA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO TAGUAÍBA II","ITANHAÉM (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO","SÃO SEBASTIÃO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRANSBAÚ I","SÃO BENTO DO SAPUCAÍ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÁPAGA","SÃO MIGUEL ARCANJO (SP)",2,2,2,2,2
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRAVESSIA","LAVRINHAS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHA COROADOS - FB","PRESIDENTE ALVES (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHAS DO CERRADO","MONTE ALTO (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CORISCO","ITARARÉ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VIDA EM ABUNDÂNCIA","SÃO BENTO DO SAPUCAÍ (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VISTA BONITA","SANDOVALINA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA","SANTANA DE PARNAÍBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II","SANTANA DE PARNAÍBA (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V","PIRAPORA DO BOM JESUS (SP)",0,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VUTURUSSU","SANTANA DE PARNAÍBA (SP)",0,0,0,0,0
"RPPN BOTUJURU-SERRA DO ITAPETY","MOGI DAS CRUZES (SP)",0,0,0,0,0
"RPPN CHACARA SANTA INEZ","BANANAL (SP)",0,0,0,0,0
"RPPN FAZENDA RENOPOLIS","SANTO ANTÔNIO DO PINHAL (SP)",0,0,0,0,0
"RPPN FLORESTA DAS AGUAS PERENES","BROTAS (SP) - RIBEIRÃO BONITO (SP)",0,0,0,0,0
"RPPN MAHAYANA","MOGI DAS CRUZES (SP)",0,0,0,0,0
"RPPN MARINA DO CONDE","GUARUJÁ (SP)",0,0,0,0,0
"RPPN MOSQUITO","NARANDIBA (SP)",0,0,0,0,0
"RPPN O PRIMATA","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"RPPN PARAÍSO","MAIRIPORÃ (SP)",0,0,0,0,0
"RPPN PEDRA DA MINA","QUELUZ (SP)",0,0,0,0,0
"RPPN POUSADA CAMPOS DA BOCAINA","SÃO JOSÉ DO BARREIRO (SP)",0,0,0,0,0
"RPPN RESERVA DO DADINHO","ATIBAIA (SP)",0,0,0,0,0
"RPPN RESERVA DO JACU","ATIBAIA (SP)",0,0,0,0,0
"RPPN RESERVA HINAYANA","MOGI DAS CRUZES (SP)",0,0,0,0,0
"RPPN SANTA RITA DE CASSIA","QUELUZ (SP)",0,0,0,0,0
"RPPN SÃO ELIAS","CAPIVARI (SP)",0,0,0,0,0
"RPPN SERRA DO ITATINS","IGUAPE (SP)",0,0,0,0,0
"RPPN SERRINHA","QUELUZ (SP)",0,0,0,0,0
"RPPN SITIO KON TIKI","SANTA RITA DO PASSA QUATRO (SP)",0,0,0,0,0
"RPPN SITIO MANACA","GUARATINGUETÁ (SP)",0,0,0,0,0
"RPPN TOCA DA PACA","GUATAPARÁ (SP)",0,0,0,0,0
"RPPN VALE VERDEJANTE","UBARANA (SP)",0,0,0,0,0
